Artista ID;Fecha;Escenario;Inicio;Fin;Estado
"annisokay";"01/07/2026";"Main Stage";"15:25";"16:15";"Programada"
"crowded";"01/07/2026";"Chaos Stage";"15:25";"16:10";"Programada"
"aneuma";"01/07/2026";"Ritual Stage";"16:15";"16:55";"Programada"
"manwithamission";"01/07/2026";"Main Stage";"16:55";"17:45";"Programada"
"godcomplex";"01/07/2026";"Chaos Stage";"16:55";"17:45";"Programada"
"tss";"01/07/2026";"Ritual Stage";"17:45";"18:30";"Programada"
"blackmaracas";"01/07/2026";"Desert Stage";"17:45";"18:35";"Programada"
"president";"01/07/2026";"Main Stage";"18:30";"19:20";"Programada"
"immortaldisfigurement";"01/07/2026";"Chaos Stage";"18:30";"19:20";"Programada"
"theprettywild";"01/07/2026";"Ritual Stage";"19:20";"20:10";"Programada"
"cardiac";"01/07/2026";"Desert Stage";"19:20";"20:10";"Programada"
"thescratch";"01/07/2026";"Chaos Stage";"20:05";"21:05";"Programada"
"thrown";"01/07/2026";"Main Stage";"20:10";"21:00";"Programada"
"thebrowning";"01/07/2026";"Ritual Stage";"21:00";"21:50";"Programada"
"lasttrain";"01/07/2026";"Desert Stage";"21:00";"22:00";"Programada"
"adaytoremember";"01/07/2026";"Main Stage";"21:50";"23:00";"Programada"
"gettheshot";"01/07/2026";"Chaos Stage";"22:00";"23:00";"Programada"
"selfdeception";"01/07/2026";"Ritual Stage";"23:00";"23:55";"Programada"
"lampr3a";"01/07/2026";"Desert Stage";"23:00";"00:00";"Programada"
"sabaton";"01/07/2026";"Main Stage";"00:00";"01:50";"Programada"
"highvis";"01/07/2026";"Chaos Stage";"00:00";"01:10";"Programada"
"faetooth";"01/07/2026";"Desert Stage";"01:10";"02:20";"Programada"
"testament";"01/07/2026";"Ritual Stage";"01:50";"03:00";"Programada"
"arsontides";"02/07/2026";"Desert Stage";"15:20";"16:00";"Programada"
"fallenatdawn";"02/07/2026";"Main Stage";"15:25";"16:10";"Programada"
"fuet";"02/07/2026";"Chaos Stage";"15:45";"16:35";"Programada"
"heranxiety";"02/07/2026";"Ritual Stage";"16:10";"16:50";"Programada"
"sillygoose";"02/07/2026";"Desert Stage";"16:35";"17:20";"Programada"
"caskets";"02/07/2026";"Main Stage";"16:50";"17:40";"Programada"
"bloodcommand";"02/07/2026";"Chaos Stage";"17:20";"18:20";"Programada"
"burningwitches";"02/07/2026";"Ritual Stage";"17:40";"18:30";"Programada"
"bluespills";"02/07/2026";"Desert Stage";"18:20";"19:30";"Programada"
"angelusapatrida";"02/07/2026";"Main Stage";"18:30";"19:30";"Programada"
"thefuneralportrait";"02/07/2026";"Ritual Stage";"19:30";"20:30";"Programada"
"belvedere";"02/07/2026";"Chaos Stage";"19:30";"20:30";"Programada"
"ciclonautas";"02/07/2026";"Desert Stage";"20:30";"21:30";"Programada"
"ironmaiden";"02/07/2026";"Main Stage";"20:50";"23:00";"Programada"
"thecallousdaoboys";"02/07/2026";"Chaos Stage";"21:35";"22:35";"Programada"
"vulvarine";"02/07/2026";"Desert Stage";"22:35";"23:35";"Programada"
"caliban";"02/07/2026";"Ritual Stage";"23:10";"00:20";"Programada"
"lionheart";"02/07/2026";"Chaos Stage";"23:45";"01:00";"Programada"
"anthrax";"02/07/2026";"Main Stage";"00:20";"01:35";"Programada"
"psychonaut";"02/07/2026";"Desert Stage";"01:00";"02:00";"Programada"
"authorityzero";"02/07/2026";"Ritual Stage";"01:35";"02:25";"Programada"
"feuerschwanz";"02/07/2026";"Main Stage";"02:25";"03:25";"Programada"
"nukore";"03/07/2026";"Ritual Stage";"15:05";"15:50";"Programada"
"thefallofatlantis";"03/07/2026";"Desert Stage";"15:05";"15:45";"Programada"
"nevertel";"03/07/2026";"Main Stage";"15:50";"16:35";"Programada"
"pantsoff";"03/07/2026";"Chaos Stage";"15:50";"16:35";"Programada"
"notyet";"03/07/2026";"Ritual Stage";"16:35";"17:20";"Programada"
"madmess";"03/07/2026";"Desert Stage";"16:35";"17:20";"Programada"
"therasmus";"03/07/2026";"Main Stage";"17:20";"18:10";"Programada"
"osloovnies";"03/07/2026";"Chaos Stage";"17:20";"18:10";"Programada"
"okkultist";"03/07/2026";"Ritual Stage";"18:10";"19:00";"Programada"
"mourir";"03/07/2026";"Desert Stage";"18:10";"19:00";"Programada"
"bleedfromwithin";"03/07/2026";"Main Stage";"19:00";"20:00";"Programada"
"initiate";"03/07/2026";"Chaos Stage";"19:00";"19:50";"Programada"
"hulder";"03/07/2026";"Ritual Stage";"20:00";"20:50";"Programada"
"rosaliecunningham";"03/07/2026";"Desert Stage";"20:00";"20:50";"Programada"
"trivium";"03/07/2026";"Main Stage";"20:50";"22:00";"Programada"
"dyingwish";"03/07/2026";"Chaos Stage";"20:50";"21:50";"Programada"
"gaerea";"03/07/2026";"Ritual Stage";"22:00";"23:00";"Programada"
"returntodust";"03/07/2026";"Desert Stage";"22:00";"23:00";"Programada"
"endit";"03/07/2026";"Chaos Stage";"23:00";"00:00";"Programada"
"limpbizkit";"03/07/2026";"Main Stage";"23:10";"00:30";"Programada"
"blazethetrail";"03/07/2026";"Ritual Stage";"00:35";"01:25";"Programada"
"borknagar";"03/07/2026";"Desert Stage";"00:35";"01:45";"Programada"
"cavaleraconspiracy";"03/07/2026";"Main Stage";"01:25";"02:40";"Programada"
"houseofprotection";"03/07/2026";"Chaos Stage";"01:40";"02:40";"Programada"
"iscreamneverground";"04/07/2026";"Main Stage";"14:50";"15:40";"Programada"
"downtosuffer";"04/07/2026";"Desert Stage";"14:50";"15:30";"Programada"
"stellvris";"04/07/2026";"Ritual Stage";"15:40";"16:25";"Programada"
